CO_REGSAUD,CO_MACRORREGIONAL
00000,0000
11000,1100
11001,1102
11002,1101
11003,1101
11003,1102
11004,1102
11005,1101
11006,1101
11007,1101
12000,1200
12001,1201
12002,1201
12003,1201
13000,1300
13001,1304
13002,1304
13003,1303
13004,1303
13005,1303
13006,1304
13007,1302
13008,1302
13009,1302
14000,1400
14001,1401
14002,1401
15000,1500
15001,1509
15002,1510
15003,1509
15004,1509
15006,1512
15007,1511
15008,1511
15009,1511
15010,1510
15011,1512
15012,1510
15013,1512
15014,1512
16000,1600
16001,1601
16002,1601
16003,1601
17000,1700
17001,1701
17002,1701
17003,1702
17004,1701
17005,1702
17006,1702
17007,1702
17008,1702
21000,2100
21001,2109
21002,2110
21003,2109
21004,2109
21005,2111
21006,2110
21007,2111
21008,2109
21009,2110
21010,2111
21011,2110
21012,2111
21013,2110
21014,2110
21015,2111
21016,2110
21017,2111
21018,2110
21019,2110
22000,2200
22001,2208
22002,2210
22003,2209
22004,2208
22005,2209
22006,2210
22007,2210
22008,2207
22009,2207
22010,2207
22011,2210
22012,2207
23000,2300
23001,2310
23011,2309
23023,2308
23024,2307
23025,2306
24000,2400
24001,2402
24002,2401
24003,2402
24004,2402
24005,2402
24006,2401
24007,2402
24008,2401
25000,2500
25001,2503
25002,2503
25003,2502
25004,2502
25005,2502
25006,2501
25007,2501
25008,2501
25009,2501
25010,2501
25011,2501
25012,2503
25013,2501
25014,2503
25015,2502
25016,2502
26000,2600
26001,2606
26002,2606
26003,2608
26004,2608
26005,2607
26006,2607
26007,2605
26008,2607
26009,2605
26010,2607
26011,2605
26012,2606
27000,2700
27001,2704
27002,2704
27003,2704
27004,2704
27005,2704
27006,2704
27007,2703
27008,2703
27009,2703
27010,2703
28000,2800
28001,2801
28002,2801
28003,2801
28004,2801
28005,2801
28006,2801
28007,2801
29000,2900
29001,2914
29002,2912
29003,2911
29004,2915
29005,2915
29006,2917
29007,2911
29008,2912
29009,2910
29010,2918
29011,2917
29012,2910
29013,2911
29014,2918
29015,2910
29016,2913
29017,2913
29018,2916
29019,2914
29020,2915
29021,2912
29022,2915
29023,2917
29024,2913
29025,2917
29026,2916
29027,2910
29028,2911
31000,3100
31001,3116
31002,3116
31003,3115
31004,3101
31006,3115
31007,3115
31008,3101
31009,3116
31010,3101
31011,3101
31012,3101
31013,3102
31015,3102
31016,3103
31017,3103
31018,3103
31019,3103
31020,3103
31021,3103
31022,3103
31023,3103
31024,3103
31025,3103
31026,3104
31027,3104
31028,3105
31030,3105
31031,3105
31032,3105
31034,3114
31035,3114
31036,3106
31037,3114
31038,3106
31040,3106
31041,3107
31042,3107
31044,3107
31045,3107
31046,3107
31047,3107
31048,3107
31050,3108
31051,3108
31052,3108
31053,3108
31055,3108
31057,3109
31058,3109
31059,3110
31060,3110
31061,3110
31062,3111
31064,3104
31065,3111
