"CO_MACSAUD","CO_ATIVOTATUATIVO","DS_NOME","DS_NOMEPAD","DS_ABREV","NU_ORDEM"
"1100","IGNOR","MUNICIPIO IGNORADO - RO","MUNICIPIO IGNORADO - RO","Ignorado - RO",8
"1101","ATIVO","MACRORREGIONAL II (CACOAL)","MACRORREGIONAL II (CACOAL)","Macrorregional II (Cacoal)",1
"1102","ATIVO","MACRORREGIAO I - PORTO VELHO","MACRORREGIAO I - PORTO VELHO","Macrorregião I - Porto Velho",1
"1190","IGNOR","REGIAO NAO DEFINIDA - RO","REGIAO NAO DEFINIDA - RO","Região não definida - RO",8
"1200","IGNOR","MUNICIPIO IGNORADO - AC","MUNICIPIO IGNORADO - AC","Ignorado - AC",8
"1201","ATIVO","MACRO UNICA - AC","MACRO UNICA - AC","Macro única - AC",1
"1290","IGNOR","REGIAO NAO DEFINIDA - AC","REGIAO NAO DEFINIDA - AC","Região não definida - AC",8
"1300","IGNOR","MUNICIPIO IGNORADO - AM","MUNICIPIO IGNORADO - AM","Ignorado - AM",8
"1302","ATIVO","OESTE","OESTE","Oeste",1
"1303","ATIVO","LESTE","LESTE","Leste",1
"1304","ATIVO","CENTRAL","CENTRAL","Central",1
"1390","IGNOR","REGIAO NAO DEFINIDA - AM","REGIAO NAO DEFINIDA - AM","Região não definida - AM",8
"1400","IGNOR","MUNICIPIO IGNORADO - RR","MUNICIPIO IGNORADO - RR","Ignorado - RR",8
"1401","ATIVO","MACRO-RORAIMA","MACRO-RORAIMA","MACRO-RORAIMA",1
"1490","IGNOR","REGIAO NAO DEFINIDA - RR","REGIAO NAO DEFINIDA - RR","Região não definida - RR",8
"1500","IGNOR","MUNICIPIO IGNORADO - PA","MUNICIPIO IGNORADO - PA","Ignorado - PA",8
"1509","ATIVO","MACRORREGIONAL IV","MACRORREGIONAL IV","Macrorregional IV",1
"1510","ATIVO","MACRORREGIONAL III ","MACRORREGIONAL III ","Macrorregional III ",1
"1511","ATIVO","MACRORREGIONAL II","MACRORREGIONAL II","Macrorregional II",1
