CO_MICIBGE CO_ATIVOTATUATIVO  DS_NOME                              DS_NOMEPAD                                 DS_ABREV                             NU_ORDEM
11000      IGNOR              Municipio Ignorado - Ro -            MUNICIPIO IGNORADO - RO -                  Municipio Ignorado - Ro -            8
11001      ATIVO              Porto Velho - RO                     PORTO VELHO - RO                           Porto Velho - RO                     1
11002      ATIVO              Guajara-Mirim - RO                   GUAJARA-MIRIM - RO                         Guajara-Mirim - RO                   1
11003      ATIVO              Ariquemes - RO                       ARIQUEMES - RO                             Ariquemes - RO                       1
11004      ATIVO              Ji-Parana - RO                       JI-PARANA - RO                             Ji-Parana - RO                       1
11005      ATIVO              Alvorada D'Oeste - RO                ALVORADA D'OESTE - RO                      Alvorada D'Oeste - RO                1
11006      ATIVO              Cacoal - RO                          CACOAL - RO                                Cacoal - RO                          1
11007      ATIVO              Vilhena - RO                         VILHENA - RO                               Vilhena - RO                         1
11008      ATIVO              Colorado Do Oeste - RO               COLORADO DO OESTE - RO                     Colorado Do Oeste - RO               1
12000      IGNOR              Municipio Ignorado - Ac -            MUNICIPIO IGNORADO - AC -                  Municipio Ignorado - Ac -            8
12001      ATIVO              Cruzeiro Do Sul - AC                 CRUZEIRO DO SUL - AC                       Cruzeiro Do Sul - AC                 1
12002      ATIVO              Tarauaca - AC                        TARAUACA - AC                              Tarauaca - AC                        1
12003      ATIVO              Sena Madureira - AC                  SENA MADUREIRA - AC                        Sena Madureira - AC                  1
12004      ATIVO              Rio Branco - AC                      RIO BRANCO - AC                            Rio Branco - AC                      1
12005      ATIVO              Brasileia - AC                       BRASILEIA - AC                             Brasileia - AC                       1
13000      IGNOR              Municipio Ignorado - Am -            MUNICIPIO IGNORADO - AM -                  Municipio Ignorado - Am -            8
13001      ATIVO              Rio Negro - AM                       RIO NEGRO - AM                             Rio Negro - AM                       1
13002      ATIVO              Japura - AM                          JAPURA - AM                                Japura - AM                          1
13003      ATIVO              Alto Solimoes - AM                   ALTO SOLIMOES - AM                         Alto Solimoes - AM                   1
13004      ATIVO              Jurua - AM                           JURUA - AM                                 Jurua - AM                           1
13005      ATIVO              Tefe - AM                            TEFE - AM                                  Tefe - AM                            1
13006      ATIVO              Coari - AM                           COARI - AM                                 Coari - AM                           1
13007      ATIVO              Manaus - AM                          MANAUS - AM                                Manaus - AM                          1
13008      ATIVO              Rio Preto Da Eva - AM                RIO PRETO DA EVA - AM                      Rio Preto Da Eva - AM                1
13009      ATIVO              Itacoatiara - AM                     ITACOATIARA - AM                           Itacoatiara - AM                     1
13010      ATIVO              Parintins - AM                       PARINTINS - AM                             Parintins - AM                       1
13011      ATIVO              Boca Do Acre - AM                    BOCA DO ACRE - AM                          Boca Do Acre - AM                    1
13012      ATIVO              Purus - AM                           PURUS - AM                                 Purus - AM                           1
13013      ATIVO              Madeira - AM                         MADEIRA - AM                               Madeira - AM                         1
14000      IGNOR              Municipio Ignorado - Rr -            MUNICIPIO IGNORADO - RR -                  Municipio Ignorado - Rr -            8
14001      ATIVO              Boa Vista - RR                       BOA VISTA - RR                             Boa Vista - RR                       1
14002      ATIVO              Nordeste De Roraima - RR             NORDESTE DE RORAIMA - RR                   Nordeste De Roraima - RR             1
14003      ATIVO              Caracarai - RR                       CARACARAI - RR                             Caracarai - RR                       1
14004      ATIVO              Sudeste De Roraima - RR              SUDESTE DE RORAIMA - RR                    Sudeste De Roraima - RR              1
15000      IGNOR              Municipio Ignorado - Pa -            MUNICIPIO IGNORADO - PA -                  Municipio Ignorado - Pa -            8
15001      ATIVO              Obidos - PA                          OBIDOS - PA                                Obidos - PA                          1
15002      ATIVO              Santarem - PA                        SANTAREM - PA                              Santarem - PA                        1
15003      ATIVO              Almeirim - PA                        ALMEIRIM - PA                              Almeirim - PA                        1
15004      ATIVO              Portel - PA                          PORTEL - PA                                Portel - PA                          1
15005      ATIVO              Furos De Breves - PA                 FUROS DE BREVES - PA                       Furos De Breves - PA                 1
15006      ATIVO              Arari - PA                           ARARI - PA                                 Arari - PA                           1
15007      ATIVO              Belem - PA                           BELEM - PA                                 Belem - PA                           1
15008      ATIVO              Castanhal - PA                       CASTANHAL - PA                             Castanhal - PA                       1
15009      ATIVO              Salgado - PA                         SALGADO - PA                               Salgado - PA                         1
15010      ATIVO              Bragantina - PA                      BRAGANTINA - PA                            Bragantina - PA                      1
15011      ATIVO              Cameta - PA                          CAMETA - PA                                Cameta - PA                          1
15012      ATIVO              Tome-Acu - PA                        TOME-ACU - PA                              Tome-Acu - PA                        1
15013      ATIVO              Guama - PA                           GUAMA - PA                                 Guama - PA                           1
15014      ATIVO              Itaituba - PA                        ITAITUBA - PA                              Itaituba - PA                        1
15015      ATIVO              Altamira - PA                        ALTAMIRA - PA                              Altamira - PA                        1
15016      ATIVO              Tucurui - PA                         TUCURUI - PA                               Tucurui - PA                         1
