CO_MUNICCO_MUNICCO_STATUCO_TIPO DS_NOME DS_NOMEPDS_OBSERCO_REGIACO_UF   CO_ALTERCO_ALTERIN_CAPITIN_AMAZLIN_SEMIAIN_FRONTDT_INSTADT_EXTINCO_SUCESNU_ORDEMNU_ORDMANU_LATITNU_LONGINU_ALTITNU_AREA
       0       0IGNOR   IGNOR   IgnoradoIGNORADOIgnorado,      ,       0,      ,,       N       N       N       N                                      8
  110000 1100000IGNOR   IGNOR   MunicipiMUNICIPIIgnorado       1      110,119999    0,12N       S       N       N                                      8
  110001 1100015ATIVO   MUNIC   Alta FloALTA FLORESTA D'       1      11                N       S       N       S           1986                       1        -11,9355-61,9998     3507066,702
  110002 1100023ATIVO   MUNIC   AriquemeARIQUEMES              1      11                N       S       N       N           1977                       1        -9,90846-63,0333     1424426,558
  110003 1100031ATIVO   MUNIC   Cabixi  CABIXI                 1      11                N       S       N       S           1989                       1        -13,4998-60,5443     2301314,355
  110004 1100049ATIVO   MUNIC   Cacoal  CACOAL                 1      11                N       S       N       N           1977                       1        -11,4339-61,4429     2003792,638
  110005 1100056ATIVO   MUNIC   CerejeirCEREJEIRAS             1      11                N       S       N       S           1983                       1         -13,195-60,8184     2772783,305
  110006 1100064ATIVO   MUNIC   ColoradoCOLORADO DO OEST       1      11                N       S       N       S           1981                       1        -13,1306-60,5551     4601451,058
  110007 1100072ATIVO   MUNIC   CorumbiaCORUMBIARA             1      11                N       S       N       S           1993                       1        -12,9975-60,9487     3403060,318
  110008 1100080ATIVO   MUNIC   Costa MaCOSTA MARQUES          1      11                N       S       N       S           1981                       1         -12,436-64,2317     14012722,17
  110009 1100098ATIVO   MUNIC   Espigao ESPIGAO D'OESTE        1      11                N       S       N       N           1981                       1        -11,5286-61,0202     2704518,055
  110010 1100106ATIVO   MUNIC   Guajara-GUAJARA-MIRIM          1      11                N       S       N       S           1943                       1        -10,7739 -65,324     12824855,65
  110011 1100114ATIVO   MUNIC   Jaru    JARU                   1      11                N       S       N       N           1981                       1        -10,4359-62,4762     1242944,025
  110012 1100122ATIVO   MUNIC   Ji-ParanJI-PARANA              1      11                N       S       N       N           1977                       1        -10,8821-61,9451     1706896,782
  110013 1100130ATIVO   MUNIC   MachadinMACHADINHO D'OES       1      11                N       S       N       N           1989                       1        -9,42556-61,9996     1028509,274
  110014 1100148ATIVO   MUNIC   Nova BraNOVA BRASILANDIA       1      11                N       S       N       S           1989                       1        -11,7213-62,3082     3201155,353
  110015 1100155ATIVO   MUNIC   Ouro PreOURO PRETO DO OE       1      11                N       S       N       N           1981                       1        -10,7236-62,2611     2801970,151
  110018 1100189ATIVO   MUNIC   Pimenta PIMENTA BUENO          1      11                N       S       N       S           1977                       1        -11,6775-61,1837     1956241,072
  110020 1100205ATIVO   MUNIC   Porto VePORTO VELHO            1      11                S       S       N       S           1943                       1        -8,76889-63,8314      8534082,37
  110025 1100254ATIVO   MUNIC   PresidenPRESIDENTE MEDIC       1      11                N       S       N       N           1981                       1        -11,1732-61,9094     1851758,461
  110026 1100262ATIVO   MUNIC   Rio CresRIO CRESPO             1      11                N       S       N       N           1993                       1        -9,70554   -62,9       01717,648
  110028 1100288ATIVO   MUNIC   Rolim DeROLIM DE MOURA         1      11                N       S       N       S           1983                       1        -11,7223-61,7858     2901457,885
  110029 1100296ATIVO   MUNIC   Santa LuSANTA LUZIA D'OE       1      11                N       S       N       S           1986                       1        -11,9084-61,7733     2601197,781
  110030 1100304ATIVO   MUNIC   Vilhena VILHENA                1      11                N       S       N       S           1977                       1        -12,7414-60,1386     60011518,93
  110032 1100320ATIVO   MUNIC   Sao MiguSAO MIGUEL DO GU       1      11                N       S       N       S           1989                       1        -11,6995-62,7201     2058007,866
  110033 1100338ATIVO   MUNIC   Nova MamNOVA MAMORE            1      11                N       S       N       S           1989                       1        -10,4118-65,3291     134 10071,7
  110034 1100346ATIVO   MUNIC   AlvoradaALVORADA D'OESTE       1      11                N       S       N       S           1986                       1        -11,3441-62,2773     224 3029,19
  110037 1100379ATIVO   MUNIC   Alto AleALTO ALEGRE DOS        1      11                N       S       N       S           1997                       1        -12,1318-61,8531     4053958,586
  110040 1100403ATIVO   MUNIC   Alto ParALTO PARAISO           1      11                N       S       N       N           1993                       1        -9,71667-63,3176       02651,818
  110045 1100452ATIVO   MUNIC   Buritis BURITIS                1      11                N       S       N       S           1997                       1        -10,2098-63,8297     2003265,739
  110050 1100502ATIVO   MUNIC   Novo HorNOVO HORIZONTE D       1      11                N       S       N       S           1993                       1        -11,7097-61,9944       0 843,446
  110060 1100601ATIVO   MUNIC   CacaulanCACAULANDIA            1      11                N       S       N       N           1993                       1        -10,3389-62,9032     2051961,745
  110070 1100700ATIVO   MUNIC   Campo NoCAMPO NOVO DE RO       1      11                N       S       N       S           1993                       1        -10,5684 -63,625       03442,003
  110080 1100809ATIVO   MUNIC   CandeiasCANDEIAS DO JAMA       1      11                N       S       N       N           1993                       1        -8,78502   -63,7       06843,866
  110090 1100908ATIVO   MUNIC   CastanheCASTANHEIRAS           1      11                N       S       N       N           1993                       1        -11,4268-61,9492     190 892,839
  110092 1100924ATIVO   MUNIC   ChupinguCHUPINGUAIA            1      11                N       S       N       S           1997                       1        -12,5568-60,9018     3605126,675
  110094 1100940ATIVO   MUNIC   Cujubim CUJUBIM                1      11                N       S       N       N           1997                       1        -9,37819-62,5872      953864,071
  110100 1101005ATIVO   MUNIC   GovernadGOVERNADOR JORGE       1      11                N       S       N       N           1993                       1        -10,6121-62,7405     1905067,381
  110110 1101104ATIVO   MUNIC   Itapua DITAPUA DO OESTE        1      11                N       S       N       N           1993                       1        -9,19187-63,1823       04081,433
  110120 1101203ATIVO   MUNIC   MinistroMINISTRO ANDREAZ       1      11                N       S       N       N           1993                       1        -11,1962-61,5189     400 798,065
  110130 1101302ATIVO   MUNIC   Mirante MIRANTE DA SERRA       1      11                N       S       N       N           1993                       1        -11,0456-62,6694     2301191,882
  110140 1101401ATIVO   MUNIC   Monte NeMONTE NEGRO            1      11                N       S       N       N           1993                       1        -10,2631-63,2956       01931,371
  110143 1101435ATIVO   MUNIC   Nova UniNOVA UNIAO             1      11                N       S       N       N           1997                       1        -10,9155-62,5551     250 807,179
  110145 1101450ATIVO   MUNIC   Parecis PARECIS                1      11                N       S       N       S           1997                       1        -12,1798 -61,598     3552548,691
  110146 1101468ATIVO   MUNIC   PimenteiPIMENTEIRAS DO O       1      11                N       S       N       S           1997                       1        -13,4766-61,0444     1856014,726
  110147 1101476ATIVO   MUNIC   PrimaverPRIMAVERA DE RON       1      11                N       S       N       S           1997                       1        -11,8257-61,3165     210 605,698
  110148 1101484ATIVO   MUNIC   Sao FeliSAO FELIPE D'OES       1      11                N       S       N       S           1997                       1        -11,9144-61,5125     290 541,639
  110149 1101492ATIVO   MUNIC   Sao FranSAO FRANCISCO DO       1      11                N       S       N       S           1997                       1        -12,0638-63,5709     1854747,002
  110150 1101500ATIVO   MUNIC   SeringueSERINGUEIRAS           1      11                N       S       N       S           1993                       1        -11,7671-63,0388       02251,266
  110155 1101559ATIVO   MUNIC   TeixeiroTEIXEIROPOLIS          1      11                N       S       N       N           1997                       1        -10,9322-62,2559     260 459,954
  110160 1101609ATIVO   MUNIC   TheobromTHEOBROMA              1      11                N       S       N       N           1993                       1        -10,2487-62,3451     2052197,415
