"CO_REGSAUD","CO_ATIVOTA","DS_NOME","DS_NOMEPAD","DS_ABREV","NU_ORDEM"
"11000","IGNOR","Municipio ignorado - RO","MUNICIPIO IGNORADO - RO","Municipio ignorado - RO","8"
"11001","ATIVO","Vale Do Jamari - RO","VALE DO JAMARI - RO","Vale Do Jamari - RO","1"
"11002","ATIVO","Cafe - RO","CAFE - RO","Cafe - RO","1"
"11003","ATIVO","Central - RO","CENTRAL - RO","Central - RO","1"
"11004","ATIVO","Madeira-Mamore - RO","MADEIRA-MAMORE - RO","Madeira-Mamore - RO","1"
"11005","ATIVO","Zona Da Mata - RO","ZONA DA MATA - RO","Zona Da Mata - RO","1"
"11006","ATIVO","Cone Sul - RO","CONE SUL - RO","Cone Sul - RO","1"
"11007","ATIVO","Vale Do Guapore - RO","VALE DO GUAPORE - RO","Vale Do Guapore - RO","1"
"12000","IGNOR","Municipio ignorado - AC","MUNICIPIO IGNORADO - AC","Municipio ignorado - AC","8"
"12001","ATIVO","Alto Acre - AC","ALTO ACRE - AC","Alto Acre - AC","1"
"12002","ATIVO","Baixo Acre E Purus - AC","BAIXO ACRE E PURUS - AC","Baixo Acre E Purus - AC","1"
"12003","ATIVO","Jurua E Tarauaca/Envira - AC","JURUA E TARAUACA/ENVIRA - AC","Jurua E Tarauaca/Envira - AC","1"
"13000","IGNOR","Municipio ignorado - AM","MUNICIPIO IGNORADO - AM","Municipio ignorado - AM","8"
"13001","ATIVO","Manaus, Entorno E Alto Rio Negro - AM","MANAUS, ENTORNO E ALTO RIO NEGRO - AM","Manaus, Entorno E Alto Rio Negro - AM","1"
"13002","ATIVO","Rio Negro E Solimoes - AM","RIO NEGRO E SOLIMOES - AM","Rio Negro E Solimoes - AM","1"
"13003","ATIVO","Rio Madeira - AM","RIO MADEIRA - AM","Rio Madeira - AM","1"
"13004","ATIVO","Medio Amazonas - AM","MEDIO AMAZONAS - AM","Medio Amazonas - AM","1"
"13005","ATIVO","Baixo Amazonas - AM","BAIXO AMAZONAS - AM","Baixo Amazonas - AM","1"
"13006","ATIVO","Regional Purus - AM","REGIONAL PURUS - AM","Regional Purus - AM","1"
"13007","ATIVO","Regional Jurua - AM","REGIONAL JURUA - AM","Regional Jurua - AM","1"
"13008","ATIVO","Triangulo - AM","TRIANGULO - AM","Triangulo - AM","1"
"13009","ATIVO","Alto Solimoes - AM","ALTO SOLIMOES - AM","Alto Solimoes - AM","1"
"14000","IGNOR","Municipio ignorado - RR","MUNICIPIO IGNORADO - RR","Municipio ignorado - RR","8"
"14001","ATIVO","Centro Norte - RR","CENTRO NORTE - RR","Centro Norte - RR","1"
"14002","ATIVO","Sul - RR","SUL - RR","Sul - RR","1"
"15000","IGNOR","Municipio ignorado - PA","MUNICIPIO IGNORADO - PA","Municipio ignorado - PA","8"
"15001","ATIVO","Araguaia - PA","ARAGUAIA - PA","Araguaia - PA","1"
"15002","ATIVO","Baixo Amazonas - PA","BAIXO AMAZONAS - PA","Baixo Amazonas - PA","1"
"15003","ATIVO","Carajas - PA","CARAJAS - PA","Carajas - PA","1"
"15004","ATIVO","Lago De Tucurui - PA","LAGO DE TUCURUI - PA","Lago De Tucurui - PA","1"
"15006","ATIVO","Metropolitana I - PA","METROPOLITANA I - PA","Metropolitana I - PA","1"
"15007","ATIVO","Metropolitana II - PA","METROPOLITANA II - PA","Metropolitana II - PA","1"
