cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;populacao;total_obitos;obitos_mal_definidas;PROP_MAL_DEFINIDAS;TX_MAL_DEFINIDAS_P10K;ANO
170025;1700251;Abreulândia;TO;2576;15;0;0.0;0.0;2021
170030;1700301;Aguiarnópolis;TO;4497;32;0;0.0;0.0;2021
170035;1700350;Aliança do Tocantins;TO;5147;66;4;6.0606060606060606;7.771517388770158;2021
170040;1700400;Almas;TO;6499;39;3;7.6923076923076925;4.616094783812894;2021
170070;1700707;Alvorada;TO;8802;86;0;0.0;0.0;2021
170100;1701002;Ananás;TO;10325;70;0;0.0;0.0;2021
170105;1701051;Angico;TO;2876;29;0;0.0;0.0;2021
170110;1701101;Aparecida do Rio Negro;TO;4856;39;1;2.564102564102564;2.059308072487644;2021
170130;1701309;Aragominas;TO;5290;26;0;0.0;0.0;2021
170190;1701903;Araguacema;TO;5927;56;1;1.7857142857142856;1.6871941960519654;2021
170200;1702000;Araguaçu;TO;8133;60;2;3.3333333333333335;2.4591171769334808;2021
170210;1702109;Araguaína;TO;171301;1281;10;0.78064012490242;0.5837677538368136;2021
170215;1702158;Araguanã;TO;4310;36;1;2.7777777777777777;2.320185614849188;2021
170220;1702208;Araguatins;TO;31918;249;8;3.2128514056224895;2.5064227081897363;2021
170230;1702307;Arapoema;TO;5550;48;1;2.083333333333333;1.8018018018018018;2021
170240;1702406;Arraias;TO;10287;87;8;9.195402298850574;7.776805677068144;2021
170255;1702554;Augustinópolis;TO;17484;139;1;0.7194244604316548;0.5719514985129261;2021
170270;1702703;Aurora do Tocantins;TO;3342;33;2;6.0606060606060606;5.9844404548174746;2021
170290;1702901;Axixá do Tocantins;TO;10262;99;4;4.040404040404041;3.8978756577665172;2021
170300;1703008;Babaçulândia;TO;7880;54;1;1.8518518518518516;1.2690355329949239;2021
170305;1703057;Bandeirantes do Tocantins;TO;3407;24;0;0.0;0.0;2021
170307;1703073;Barra do Ouro;TO;4476;38;12;31.57894736842105;26.80965147453083;2021
170310;1703107;Barrolândia;TO;4846;66;1;1.5151515151515151;2.063557573256294;2021
170320;1703206;Bernardo Sayão;TO;4229;38;3;7.894736842105263;7.093875620714117;2021
170330;1703305;Bom Jesus do Tocantins;TO;4038;22;0;0.0;0.0;2021
170360;1703602;Brasilândia do Tocantins;TO;1974;21;0;0.0;0.0;2021
170370;1703701;Brejinho de Nazaré;TO;4725;48;0;0.0;0.0;2021
170380;1703800;Buriti do Tocantins;TO;10307;77;0;0.0;0.0;2021
170382;1703826;Cachoeirinha;TO;1961;15;0;0.0;0.0;2021
170384;1703842;Campos Lindos;TO;8653;57;0;0.0;0.0;2021
170386;1703867;Cariri do Tocantins;TO;4007;29;1;3.4482758620689653;2.495632642874969;2021
170388;1703883;Carmolândia;TO;2201;21;0;0.0;0.0;2021
