cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;populacao;total_nascimentos;prenatal_7mais;COBERTURA_PRENATAL;ANO
170025;1700251;Abreulândia;TO;2576;30;17;56.666666666666664;2021
170030;1700301;Aguiarnópolis;TO;4497;91;71;78.02197802197803;2021
170035;1700350;Aliança do Tocantins;TO;5147;67;52;77.61194029850746;2021
170040;1700400;Almas;TO;6499;123;74;60.16260162601627;2021
170070;1700707;Alvorada;TO;8802;133;100;75.18796992481202;2021
170100;1701002;Ananás;TO;10325;156;110;70.51282051282051;2021
170105;1701051;Angico;TO;2876;33;26;78.78787878787878;2021
170110;1701101;Aparecida do Rio Negro;TO;4856;72;62;86.11111111111111;2021
170130;1701309;Aragominas;TO;5290;64;46;71.875;2021
170190;1701903;Araguacema;TO;5927;93;72;77.41935483870968;2021
170200;1702000;Araguaçu;TO;8133;94;66;70.2127659574468;2021
170210;1702109;Araguaína;TO;171301;3050;2121;69.54098360655738;2021
170215;1702158;Araguanã;TO;4310;64;41;64.0625;2021
170220;1702208;Araguatins;TO;31918;459;346;75.38126361655773;2021
170230;1702307;Arapoema;TO;5550;92;83;90.21739130434783;2021
170240;1702406;Arraias;TO;10287;137;82;59.854014598540154;2021
170255;1702554;Augustinópolis;TO;17484;300;213;71.0;2021
170270;1702703;Aurora do Tocantins;TO;3342;29;17;58.620689655172406;2021
170290;1702901;Axixá do Tocantins;TO;10262;198;110;55.55555555555556;2021
170300;1703008;Babaçulândia;TO;7880;92;57;61.95652173913043;2021
170305;1703057;Bandeirantes do Tocantins;TO;3407;57;48;84.21052631578947;2021
170307;1703073;Barra do Ouro;TO;4476;94;48;51.06382978723404;2021
170310;1703107;Barrolândia;TO;4846;61;32;52.459016393442624;2021
170320;1703206;Bernardo Sayão;TO;4229;51;39;76.47058823529412;2021
170330;1703305;Bom Jesus do Tocantins;TO;4038;73;49;67.12328767123287;2021
170360;1703602;Brasilândia do Tocantins;TO;1974;30;20;66.66666666666666;2021
170370;1703701;Brejinho de Nazaré;TO;4725;60;46;76.66666666666667;2021
170380;1703800;Buriti do Tocantins;TO;10307;146;105;71.91780821917808;2021
170382;1703826;Cachoeirinha;TO;1961;33;26;78.78787878787878;2021
170384;1703842;Campos Lindos;TO;8653;170;133;78.23529411764706;2021
170386;1703867;Cariri do Tocantins;TO;4007;54;45;83.33333333333334;2021
170388;1703883;Carmolândia;TO;2201;36;23;63.888888888888886;2021
170389;1703891;Carrasco Bonito;TO;3318;55;34;61.81818181818181;2021
170390;1703909;Caseara;TO;4847;85;55;64.70588235294117;2021
170410;1704105;Centenário;TO;2131;25;15;60.0;2021
170460;1704600;Chapada de Areia;TO;1501;13;7;53.84615384615385;2021
170510;1705102;Chapada da Natividade;TO;3117;50;36;72.0;2021
170550;1705508;Colinas do Tocantins;TO;34233;591;402;68.02030456852792;2021
170555;1705557;Combinado;TO;4756;54;37;68.51851851851852;2021
170560;1705607;Conceição do Tocantins;TO;3887;58;53;91.37931034482759;2021
170600;1706001;Couto Magalhães;TO;5331;79;58;73.41772151898735;2021
170610;1706100;Cristalândia;TO;6371;76;55;72.36842105263158;2021
170625;1706258;Crixás do Tocantins;TO;1470;17;11;64.70588235294117;2021
170650;1706506;Darcinópolis;TO;5827;111;65;58.55855855855856;2021
170700;1707009;Dianópolis;TO;17739;299;216;72.24080267558529;2021
170710;1707108;Divinópolis do Tocantins;TO;7024;105;92;87.61904761904762;2021
170720;1707207;Dois Irmãos do Tocantins;TO;6327;66;48;72.72727272727273;2021
170730;1707306;Dueré;TO;4248;57;43;75.43859649122807;2021
170740;1707405;Esperantina;TO;7530;139;97;69.7841726618705;2021
170755;1707553;Fátima;TO;3467;49;33;67.3469387755102;2021
170765;1707652;Figueirópolis;TO;5211;61;33;54.09836065573771;2021
170770;1707702;Filadélfia;TO;7712;94;48;51.06382978723404;2021
170820;1708205;Formoso do Araguaia;TO;18881;298;191;64.09395973154362;2021
170825;1708254;Tabocão;TO;3455;57;33;57.89473684210527;2021
170830;1708304;Goianorte;TO;4738;61;42;68.85245901639344;2021
170900;1709005;Goiatins;TO;12433;208;121;58.17307692307693;2021
170930;1709302;Guaraí;TO;24775;364;229;62.91208791208791;2021
170950;1709500;Gurupi;TO;85125;1263;875;69.27949326999209;2021
170980;1709807;Ipueiras;TO;1590;25;16;64.0;2021
171050;1710508;Itacajá;TO;6819;127;71;55.90551181102362;2021
171070;1710706;Itaguatins;TO;5172;66;35;53.03030303030303;2021
171090;1710904;Itapiratins;TO;3577;55;41;74.54545454545455;2021
171110;1711100;Itaporã do Tocantins;TO;2404;38;31;81.57894736842105;2021
171150;1711506;Jaú do Tocantins;TO;3334;29;18;62.06896551724138;2021
171180;1711803;Juarina;TO;2243;37;26;70.27027027027027;2021
171190;1711902;Lagoa da Confusão;TO;15288;289;212;73.35640138408304;2021
171195;1711951;Lagoa do Tocantins;TO;3516;63;46;73.01587301587301;2021
171200;1712009;Lajeado;TO;3357;58;34;58.620689655172406;2021
171215;1712157;Lavandeira;TO;1626;18;14;77.77777777777779;2021
