cod_mun_ibge_6;ANO;UF;municipio;populacao;TMI;COBERTURA_PRENATAL;TAXA_MEDICOS;PROP_CESAREOS;PROP_MAL_DEFINIDAS;DOENCAS_CRONICAS
170025;2021;TO;Abreulândia;2576;0.0;56.666666666666664;0.3881987577639751;33.33333333333333;0.0;3.881987577639751
170025;2022;TO;Abreulândia;2576;29.41176470588235;82.35294117647058;0.3881987577639751;29.411764705882355;0.0;3.881987577639751
170030;2021;TO;Aguiarnópolis;4497;10.989010989010989;78.02197802197803;0.22237046920169;56.043956043956044;0.0;13.3422281521014
170030;2022;TO;Aguiarnópolis;4497;0.0;80.51948051948052;0.22237046920169;53.246753246753244;0.0;8.8948187680676
170035;2021;TO;Aliança do Tocantins;5147;14.925373134328359;77.61194029850746;0.3885758694385079;65.67164179104478;6.0606060606060606;17.485914124732854
170035;2022;TO;Aliança do Tocantins;5147;35.08771929824561;73.68421052631578;0.3885758694385079;73.68421052631578;0.0;5.8286380415776184
170040;2021;TO;Almas;6499;16.260162601626018;60.16260162601627;0.307739652254193;40.65040650406504;7.6923076923076925;4.616094783812894
170040;2022;TO;Almas;6499;0.0;67.3469387755102;0.307739652254193;42.857142857142854;1.8518518518518516;13.848284351438682
170070;2021;TO;Alvorada;8802;15.037593984962406;75.18796992481202;0.22722108611679165;72.93233082706767;0.0;15.905476028175414
170070;2022;TO;Alvorada;8802;16.666666666666668;75.0;0.22722108611679165;74.16666666666667;0.0;15.905476028175414
170100;2021;TO;Ananás;10325;6.41025641025641;70.51282051282051;0.1937046004842615;47.43589743589743;0.0;14.527845036319611
170100;2022;TO;Ananás;10325;0.0;67.4074074074074;0.1937046004842615;54.074074074074076;0.0;32.92978208232445
170105;2021;TO;Angico;2876;0.0;78.78787878787878;0.3477051460361613;54.54545454545454;0.0;3.477051460361613
170105;2022;TO;Angico;2876;24.390243902439025;87.8048780487805;0.6954102920723226;53.65853658536586;0.0;0.0
170110;2021;TO;Aparecida do Rio Negro;4856;27.777777777777775;86.11111111111111;0.41186161449752884;50.0;2.564102564102564;4.118616144975288
170110;2022;TO;Aparecida do Rio Negro;4856;0.0;74.35897435897436;0.41186161449752884;50.0;0.0;6.177924217462932
170130;2021;TO;Aragominas;5290;0.0;71.875;0.1890359168241966;54.6875;0.0;7.561436672967864
170130;2022;TO;Aragominas;5290;14.492753623188406;79.71014492753623;0.1890359168241966;60.86956521739131;0.0;11.342155009451794
170190;2021;TO;Araguacema;5927;21.505376344086024;77.41935483870968;0.3374388392103931;54.83870967741935;1.7857142857142856;69.17496203813059
170190;2022;TO;Araguacema;5927;28.169014084507044;78.87323943661971;0.3374388392103931;49.29577464788733;0.0;70.86215623418255
170200;2021;TO;Araguaçu;8133;0.0;70.2127659574468;0.24591171769334808;67.02127659574468;3.3333333333333335;41.804992007869174
170200;2022;TO;Araguaçu;8133;0.0;71.15384615384616;0.24591171769334808;68.26923076923077;1.6129032258064515;61.477929423337024
170210;2021;TO;Araguaína;171301;13.442622950819672;69.54098360655738;0.01167535507673627;62.295081967213115;0.78064012490242;9.865675039842149
170210;2022;TO;Araguaína;171301;9.456264775413711;72.44174265450862;0.01167535507673627;65.11313745356298;2.1455223880597014;12.375876381340449
170215;2021;TO;Araguanã;4310;0.0;64.0625;0.46403712296983757;43.75;2.7777777777777777;32.48259860788863
170215;2022;TO;Araguanã;4310;66.66666666666667;68.88888888888889;0.46403712296983757;48.888888888888886;7.6923076923076925;30.162412993039442
170220;2021;TO;Araguatins;31918;6.5359477124183005;75.38126361655773;0.0626605677047434;38.344226579520694;3.2128514056224895;13.785324895043548
170220;2022;TO;Araguatins;31918;16.913319238900634;73.57293868921776;0.0626605677047434;40.803382663847785;5.392156862745098;12.532113540948682
170230;2021;TO;Arapoema;5550;10.869565217391305;90.21739130434783;0.36036036036036034;55.434782608695656;2.083333333333333;34.234234234234236
